Title,IMDB rating,IMDB votes,Genres,Audience Score,Critic Score,Critics Reviews,Audience Reviews,Streaming Platforms
Khamoshiyan,4,1493,"Drama, Horror, Romance, Thriller",,,Reviews,,
Crucible of the Vampire,3.8,310,"Drama, Fantasy, Horror, Mystery, Thriller",17%,50%,6 Reviews,Fewer than 50 Ratings,amazon-prime-video-us
Dabbe 2,3,2705,Horror,Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Journey to Murder,2.4,174,"Drama, Horror, Mystery, Sci-Fi, Thriller",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Sanatorium,4.9,1210,"Horror, Mystery, Thriller",25%,,Reviews,100+ Ratings,"vudu, amazon-prime-video-us"
Dark Windows,4.4,703,"Horror, Thriller",69%,43%,7 Reviews,Fewer than 50 Ratings,"vudu, amazon-prime-video-us"
Residency,6.3,15,"Documentary, Horror",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
The Wraith,5.9,19264,"Action, Horror, Romance, Sci-Fi, Thriller",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Insane,6,617,"Mystery, Thriller",,,Reviews,,
Desperate Souls,5.6,122,Horror,38%,,Reviews,"1,000+ Ratings",
Kuntilanak 3,4.3,264,"Adventure, Fantasy, Horror",,,Reviews,,
The Monster That Challenged the World,5.7,3161,"Horror, Sci-Fi, Thriller",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Phantom Soldiers,5.3,136,War,,,Reviews,,amazon-prime-video-us
Twice Dead,5.3,961,"Horror, Thriller",39%,,Reviews,50+ Ratings,amazon-prime-video-us
The Dead Next Door,5,3407,Horror,47%,,Reviews,"2,500+ Ratings",vudu
XIII: The Conspiracy,6.5,7202,"Action, Crime, Mystery, Thriller",,,Reviews,,
Block Z,5.4,388,"Action, Horror, Thriller",,,Reviews,,amazon-prime-video-us
Great Grand Masti,3.7,3080,"Comedy, Drama, Fantasy, Horror",56%,0%,12 Reviews,100+ Ratings,
Curse of the Undead,6,1399,"Horror, Western",39%,,Reviews,50+ Ratings,
Cold Ones,9,136,"Comedy, Talk-Show",,,Reviews,,
The Haunting of Sorority Row,4.7,1507,"Horror, Mystery",39%,,Reviews,500+ Ratings,"vudu, amazon-prime-video-us"
A Savannah Haunting,4.6,834,Horror,72%,,Reviews,50+ Ratings,"vudu, amazon-prime-video-us"
Witches' Brew,4.3,246,"Comedy, Horror",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Frankenstein's Great Aunt Tillie,2.4,151,"Comedy, Horror, Sci-Fi",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Asih 2,6.2,289,Horror,Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Brute 1976 - IMDb,,,Horror,Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Twisted Sisters,4.9,393,Thriller,14%,,Reviews,100+ Ratings,
Diary of a Madman,6.3,3057,Horror,54%,,Reviews,"1,000+ Ratings",
Diary of a Madman,6.3,3057,Horror,54%,,Reviews,"1,000+ Ratings",
Untitled Cloverfield Sequel - IMDb,,,Horror,Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Achoura,4.9,494,"Fantasy, Horror, Thriller",,83%,6 Reviews,,"vudu, amazon-prime-video-us"
The Reeds,6.8,75,Drama,Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Bugman - IMDb,,,Adventure,Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Fear Street: Prom Queen - IMDb,,,"Horror, Mystery, Thriller",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Angel Guts 5: Red Vertigo,5.4,266,"Drama, Horror, Thriller",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Los inocentes,4.6,457,Horror,Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Face/Off,7.3,401086,"Action, Crime, Sci-Fi, Thriller",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
A Beginner's Guide to Snuff,4.9,471,"Comedy, Horror, Thriller",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
The Flesh and the Fiends,6.9,2325,"Crime, Drama, Thriller",67%,,Reviews,500+ Ratings,amazon-prime-video-us
Nishabdham,4.4,7179,"Horror, Mystery, Thriller",,,Reviews,,amazon-prime-video-us
Selfie from Hell,2.9,1650,"Horror, Mystery",26%,,Reviews,Fewer than 50 Ratings,
The Long Hair of Death,,,"Comedy, Drama, Fantasy, Horror, Mystery, Sci-Fi, Thriller",36%,,Reviews,500+ Ratings,amazon-prime-video-us
Young Jack and the Witch,Error accessing IMDb data,,,Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Bestseller,6.1,1944,"Drama, Thriller",31%,,Reviews,100+ Ratings,
The Initiation of Sarah,5.7,1149,"Horror, Thriller",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
London After Midnight,6.6,1467,"Horror, Mystery, Thriller",44%,75%,20 Reviews,500+ Ratings,
Dysmorphia,5,13,"Short, Horror",,,Reviews,,
Ga-Ga: Glory To The Heroes Retro Review,,,,Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Decadent Evil,3.6,583,Horror,18%,,Reviews,"1,000+ Ratings",amazon-prime-video-us
Psycho Cop Returns,5.1,2815,"Drama, Horror, Thriller",39%,,Reviews,"1,000+ Ratings",
The Hug,6.2,932,"Short, Horror, Sci-Fi",65%,,Reviews,Fewer than 50 Ratings,hulu
The Dark Red,5.2,1068,"Mystery, Thriller",,78%,9 Reviews,,"peacock, vudu"
The Bermuda Depths,5.6,912,"Adventure, Fantasy, Sci-Fi, Thriller",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Bled,2.8,1013,Horror,Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Neelavelicham,6,1368,"Drama, Horror, Romance, Thriller",40%,,Reviews,Fewer than 50 Ratings,amazon-prime-video-us
The Lord of the G-Strings: The Femaleship of the String,3.7,1285,"Action, Fantasy, Adventure, Comedy",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Bundy: A Legacy Of Evil (2009),,,,Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Cousin Skeeter,6.8,1439,"Comedy, Family",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Two Can Keep a Secret - IMDb,,,Mystery,Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Vore Gore,6.3,37,Horror,Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Freezing Vibration,6.9,797,"Animation, Action, Drama, Romance, Sci-Fi",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Tom Holland's Twisted Tales,4,426,Horror,Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Zombie Honeymoon,4.5,2526,"Drama, Horror, Romance",32%,80%,10 Reviews,"2,500+ Ratings",
The Return of Chandu,5.5,436,"Adventure, Family, Fantasy, Horror, Romance",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Rufus,5.4,823,"Comedy, Family",,,Reviews,,
Night of the Bloody Apes,,,Comedy,32%,0%,5 Reviews,250+ Ratings,
Phantom of Death,5.5,1087,"Horror, Thriller",19%,,Reviews,100+ Ratings,
Bad Girls from Mars,3.5,723,Comedy,14%,,Reviews,100+ Ratings,vudu
Barbara,7.2,15988,Drama,44%,84%,19 Reviews,Fewer than 50 Ratings,amazon-prime-video-us
The Cursed Lesson,4.7,221,"Horror, Mystery, Thriller",,,Reviews,,
"Hunt Her, Kill Her",5.3,490,"Horror, Thriller",88%,53%,15 Reviews,Fewer than 50 Verified Ratings,"vudu, amazon-prime-video-us"
The Sacrifice,7.9,31003,Drama,,,Reviews,,
Bakeneko: A Vengeful Spirit,6.8,114,Horror,,,Reviews,,
At Midnight I'll Take Your Soul,,,"Comedy, Horror, Mystery, Sci-Fi, Thriller",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Janie,4.7,162,Horror,33%,,Reviews,100+ Ratings,
Kill Katie Malone,4.2,1297,"Horror, Thriller",18%,,Reviews,250+ Ratings,
Zombies of Mora Tau,5.2,1216,"Action, Adventure, Fantasy, Horror, Thriller",12%,,Reviews,100+ Ratings,
Petey Wheatstraw,6,1553,"Comedy, Fantasy, Horror",53%,,Reviews,"1,000+ Ratings",
Crazy Eights,3.8,3367,Horror,16%,,Reviews,"2,500+ Ratings",
The Great I Am (Exodus 3) - Part 2,,,,Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
The Silent House,5.3,8028,"Drama, Horror, Mystery",37%,68%,28 Reviews,"2,500+ Ratings",
Attic Panic,6.8,1104,"Short, Horror, Mystery",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
The Possessed,4.6,1483,Horror,33%,,Reviews,Fewer than 50 Ratings,"vudu, amazon-prime-video-us"
HalloweeNight,4.4,108,Horror,,,Reviews,,amazon-prime-video-us
Girlfriend from Hell,5,1012,"Comedy, Fantasy, Horror",54%,,Reviews,50+ Ratings,
Humongous,4.8,2185,"Horror, Mystery, Romance, Thriller",24%,13%,8 Reviews,500+ Ratings,
Tomie: Another Face,5,467,"Horror, Romance",13%,,Reviews,250+ Ratings,
Amy,7.8,55119,"Documentary, Biography, Music",74%,,Reviews,Fewer than 50 Ratings,"vudu, amazon-prime-video-us, disney-plus-us"
The Changed,3.4,2300,"Horror, Sci-Fi, Thriller",80%,82%,11 Reviews,250+ Ratings,"vudu, amazon-prime-video-us"
The Secret of Santa Vittoria,7.3,4170,"Comedy, Drama, War",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
The Day of the Living Dead,2.3,1891,"Crime, Horror, Mystery, Thriller",,,Reviews,,amazon-prime-video-us
Darkness Reigns,3.9,649,Horror,87%,,Reviews,100+ Ratings,
Pledge Night,4.6,1234,"Comedy, Horror",17%,,Reviews,100+ Ratings,vudu
Angel of Light - IMDb,,,Horror,Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Banshee,8.4,123678,"Action, Crime, Drama, Mystery, Thriller",44%,,Reviews,500+ Ratings,"vudu, amazon-prime-video-us"
Cat Sick Blues,5.3,949,Horror,38%,,Reviews,Fewer than 50 Ratings,amazon-prime-video-us
Scare Package II: Rad Chad's Revenge,4.8,1235,"Comedy, Horror",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Conjoined,4.4,152,Horror,,,Reviews,,"vudu, amazon-prime-video-us"
The Rizen,3.4,427,"Action, Horror, Sci-Fi",10%,,Reviews,Fewer than 50 Ratings,"vudu, amazon-prime-video-us"
Beware the Moon: Remembering 'An American Werewolf in London',7.6,248,Documentary,Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
The Curse of the Devil,8.7,59,"Drama, Fantasy, Romance",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Enough Sleep,,,"Short, Horror",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
& Teller 4,,,"Short, Horror",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
The House in Nightmare Park,5.7,771,"Comedy, Horror, Mystery, Thriller",64%,,Reviews,Fewer than 50 Ratings,
Surviving Evil,7.7,289,"Documentary, Crime",20%,,Reviews,100+ Ratings,
The Black Water Vampire,4.3,1186,"Horror, Mystery, Thriller",12%,,Reviews,50+ Ratings,"vudu, amazon-prime-video-us"
The Bleacher,7.2,17,"Animation, Short, Horror",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Gaslight,7.8,33933,"Crime, Drama, Mystery, Romance, Thriller",90%,89%,37 Reviews,"5,000+ Ratings","vudu, amazon-prime-video-us, max-us"
Burning Sensation,5.9,87,"Comedy, Horror, Romance",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
The Deliverance - IMDb,,,"Horror, Thriller",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Temptress,4.1,394,"Horror, Thriller",65%,,Reviews,250+ Ratings,"vudu, amazon-prime-video-us"
Misbegotten,6.7,132,Drama,27%,,Reviews,50+ Ratings,
Purani Haveli,6.8,6,Horror,,,Reviews,,
Love You as the World Ends,6.3,178,"Action, Horror, Mystery, Romance",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Vacation of Terror,5.3,537,"Horror, Mystery, Thriller",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Bone Cold,5.2,1099,Thriller,55%,,Reviews,Fewer than 50 Ratings,"vudu, amazon-prime-video-us"
Bone Cold,5.2,1099,Thriller,55%,,Reviews,Fewer than 50 Ratings,"vudu, amazon-prime-video-us"
Walrus Yes: The Making of Tusk,5.1,101,Documentary,Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
X Game,5,338,Horror,Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Violent Spirits - True Ghost Stories,,,,Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Dark Waters,7.6,102097,"Biography, Drama, History, Mystery",54%,67%,6 Reviews,"5,000+ Ratings",amazon-prime-video-us
Deadly Invasion: The Killer Bee Nightmare,4,1012,"Horror, Sci-Fi, Thriller",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Gotham,7.8,240825,"Action, Crime, Drama, Mystery, Sci-Fi, Thriller",36%,,Reviews,500+ Ratings,
Parish,6.6,1256,"Crime, Drama, Thriller",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Birdman of Alcatraz,7.8,19314,"Biography, Crime, Drama",84%,91%,23 Reviews,"5,000+ Ratings","vudu, amazon-prime-video-us"
All Creatures Great and Small,8.6,16890,"Comedy, Drama",58%,71%,7 Reviews,"1,000+ Ratings",
Scary Larry,7.5,20,"Horror, Thriller",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Vlad,7.8,1318,Drama,24%,,Reviews,"1,000+ Ratings",
Cabaret of the Dead,2.4,238,"Comedy, Horror, Sci-Fi, Thriller",,,Reviews,,
Blood Ties,7.2,7078,"Drama, Fantasy, Horror, Mystery, Romance",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Pretty Little Killers,6.8,13,"Short, Drama, Thriller",,,Reviews,,
I Now Pronounce You Chuck & Larry,5.9,154156,"Comedy, Romance",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
"23. Month of the Mask Part 3: Kamen Rider: The First & Kamen Rider: The Next Or, Kamen Rider: The Way of Wire Work",,,,Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
The Twilight Saga: Breaking Dawn - Part 2,5.5,262988,"Adventure, Drama, Fantasy, Romance",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
The Pack - IMDb,,,"Horror, Thriller",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Santa Clarita Diet,7.8,76210,"Comedy, Horror",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Fridge,4,159,Horror,Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Tempus Tormentum,2.8,398,"Horror, Thriller",,,Reviews,,amazon-prime-video-us
Flesh Blanket,2.7,166,"Comedy, Horror",,,Reviews,,
Text,6.6,3500,"Drama, Thriller",,,Reviews,,amazon-prime-video-us
No Such Thing,6,4459,"Comedy, Drama, Fantasy",59%,31%,42 Reviews,"2,500+ Ratings","vudu, amazon-prime-video-us"
J.D.'s Revenge,6,1448,"Action, Horror, Thriller",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Starve Acre,7.1,48,Horror,,100%,7 Reviews,,
Peter Pan's Neverland Nightmare - IMDb,,,"Adventure, Fantasy, Horror, Mystery, Thriller",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
The Thompsons,4.7,2438,"Drama, Horror, Thriller",31%,,Reviews,250+ Ratings,
Way of the Vampire,1.9,1687,"Action, Horror, Thriller",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
The Sleeper,3.9,1389,"Horror, Thriller",35%,,Reviews,50+ Ratings,"vudu, amazon-prime-video-us"
Mad Max: The Wasteland - IMDb,,,"Action, Adventure, Sci-Fi",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Condemned to Live,4.8,584,"Drama, Horror, Mystery",15%,,Reviews,250+ Ratings,amazon-prime-video-us
The Neighbor No. Thirteen,6.3,1307,"Horror, Thriller",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Shadowprowler,5.6,185,"Short, Horror",,,Reviews,,
Not of This Earth,4.9,2737,"Comedy, Horror, Sci-Fi",,,Reviews,,
Frankenstein Reborn,3.2,835,"Horror, Sci-Fi, Thriller",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Frankenstein Reborn,3.2,835,"Horror, Sci-Fi, Thriller",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Across the River and Into the Trees,6.7,232,"Drama, Romance, War",,,Reviews,,
The Possessed,4.6,1483,Horror,33%,,Reviews,Fewer than 50 Ratings,"vudu, amazon-prime-video-us"
The Constant Gardener,7.4,148507,"Drama, Mystery, Romance, Thriller",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Terror in the Midnight Sun,3.7,1238,"Horror, Sci-Fi",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Peopletoys,5,1898,Horror,Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
CreepTales,5.2,211,"Comedy, Drama, Fantasy, Horror, Mystery, Thriller",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Tomb Of Dracula & The Rise Of Marvel Horror W/Dennis Whittle,,,"Comedy, Talk-Show",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
The Witch Who Came from the Sea,5.7,2548,"Drama, Horror, Thriller",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Hate Crime,4.1,1166,"Action, Horror, Thriller",61%,6%,18 Reviews,"1,000+ Ratings",amazon-prime-video-us
Deep Hatred,4.5,1507,Horror,,,Reviews,,"vudu, amazon-prime-video-us"
All Night Long,5.5,2000,"Comedy, Drama, Romance",,,Reviews,,
Machete Joe,2.6,273,Horror,12%,,Reviews,Fewer than 50 Ratings,
The French Sex Murders,5.2,1115,"Horror, Mystery, Thriller",,,Reviews,,
Battle Royal High School,5.9,276,"Animation, Action, Drama, Horror, Thriller",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Mortal Remains,5.6,351,"Horror, Mystery, Thriller",78%,,Reviews,Fewer than 50 Ratings,"vudu, amazon-prime-video-us"
Attack of the Sabertooth,2.7,1340,"Action, Adventure, Comedy, Horror, Sci-Fi, Thriller",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
About Family,,,Comedy,Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Krazy House,5.4,205,"Comedy, Horror",,25%,16 Reviews,,
The Possession Experiment,3.6,983,"Horror, Thriller",15%,17%,6 Reviews,Fewer than 50 Ratings,amazon-prime-video-us
The Killing Fields,7.8,59248,"Biography, Drama, History, War",91%,93%,43 Reviews,"10,000+ Ratings","vudu, amazon-prime-video-us, netflix"
Fair Game,4.4,13847,"Action, Romance, Thriller",38%,,Reviews,100+ Ratings,
Curse of the Witching Tree,3.7,1581,Horror,17%,,Reviews,50+ Ratings,
"Out of Sight, Out of Mind",6,49,Drama,,,Reviews,,amazon-prime-video-us
Devil Fetus,6,441,Horror,,,Reviews,,
Cañitas. Presencia,2.1,355,Horror,Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Jeremiah,7,4602,"Action, Drama, Sci-Fi",73%,,Reviews,100+ Ratings,amazon-prime-video-us
Devil's Whisper,4.2,766,"Horror, Thriller",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Near Death,8.3,267,Documentary,,,Reviews,,
Mai-chan no nichijô,4.8,260,Horror,Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Kami Histeria,6.5,81,"Comedy, Horror, Musical",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Sleeping Dogs,6,5816,"Crime, Mystery, Thriller",,,Reviews,,
Chabelo and Pepito vs. The Monsters,5.9,222,"Family, Horror, Comedy",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Groom Lake,2.8,802,"Horror, Sci-Fi",14%,,Reviews,Fewer than 50 Ratings,vudu
Mary Had a Little Lamb,3.4,226,Horror,33%,17%,6 Reviews,Fewer than 50 Ratings,"vudu, amazon-prime-video-us"
Reunion - IMDb,,,"Comedy, Mystery",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Stray,6.9,1687,Documentary,,,Reviews,,
Gazer,,,"Mystery, Thriller",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Dracula: The Impaler,3.1,1154,"Action, Horror, Thriller",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
The Haunted Castle,6.1,2064,"Crime, Drama, Mystery",,,Reviews,,
The Darker Side of Terror,5.1,176,"Drama, Horror, Sci-Fi, Romance",,,Reviews,,
Seed 2,2.2,1107,Horror,Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Silam,4.5,119,Horror,,,Reviews,,
Bad CGI Gator,4.3,368,"Comedy, Horror",,,Reviews,,"vudu, amazon-prime-video-us"
Blood Myth,3.2,354,Horror,,,Reviews,,amazon-prime-video-us
Skinned Alive,3.7,688,"Comedy, Horror",19%,,Reviews,100+ Ratings,
Campfire Tales,5.8,4481,"Horror, Mystery",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Crawl or Die,4,1750,"Action, Horror, Mystery, Sci-Fi, Thriller",31%,,Reviews,50+ Ratings,amazon-prime-video-us
Blue Eyes of the Broken Doll,6,1187,"Crime, Horror, Mystery, Thriller",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
The Unkind,3.5,656,"Fantasy, Horror, Mystery, Thriller",,,Reviews,,
Axed,3.9,978,"Drama, Horror, Thriller",8%,,Reviews,Fewer than 50 Ratings,"vudu, amazon-prime-video-us"
Salvage 1,7.4,449,"Adventure, Comedy, Sci-Fi",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
The Strange House,4.6,175,Horror,32%,60%,5 Reviews,50+ Ratings,
Archons,4,438,"Horror, Sci-Fi, Thriller",,,Reviews,,
Soldiers of the Damned,3.9,885,"Action, Horror, Thriller, War",,,Reviews,,"vudu, amazon-prime-video-us"
Naane Varuven,6.2,5433,"Action, Horror, Thriller",,40%,5 Reviews,,amazon-prime-video-us
Barbie & Kendra Save the Tiger King,2.6,219,Comedy,Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
The Dead Room,4.8,4575,"Horror, Thriller",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Bhaagamathie,7,3340,"Action, Horror, Thriller",64%,83%,6 Reviews,Fewer than 50 Ratings,"amazon-prime-video-us, hulu"
3 Body Problem,7.6,102096,"Adventure, Drama, Fantasy, Mystery, Sci-Fi",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Kisah Tanah Jawa: Pocong Gundul,7,196,Horror,Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Zombex,2.2,748,"Horror, Sci-Fi, Thriller",16%,,Reviews,Fewer than 50 Ratings,
Ginger & Snapper,7.5,18,"Animation, Short, Comedy, Horror, Sci-Fi",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
The Bells of St. Mary's,7.2,9372,Drama,Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
11th Hour Cleaning,3.4,395,Horror,78%,,Reviews,Fewer than 50 Ratings,"vudu, amazon-prime-video-us"
Strangers Within,4.1,193,"Drama, Horror, Thriller",,,Reviews,,amazon-prime-video-us
Birdman or (The Unexpected Virtue of Ignorance),7.7,666769,"Comedy, Drama",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Scared Stiff,6.4,2093,"Comedy, Horror, Musical, Mystery, Romance",,,Reviews,,
The Betsy,5.2,1653,Drama,22%,17%,6 Reviews,500+ Ratings,"vudu, amazon-prime-video-us"
A Candle for the Devil,,,"Comedy, News",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Alien from the Deep,4.2,811,"Sci-Fi, Horror",0%,,Reviews,Fewer than 50 Ratings,
Don't Speak,3.2,1330,"Horror, Sci-Fi, Thriller",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
The School for Good and Evil,5.9,36168,"Action, Comedy, Drama, Fantasy",66%,37%,67 Reviews,"1,000+ Ratings",netflix
8213: Gacy House,3.1,2102,"Horror, Mystery, Thriller",19%,,Reviews,500+ Ratings,
Hangar 10,3.7,1656,"Horror, Sci-Fi, Thriller",17%,14%,7 Reviews,100+ Ratings,amazon-prime-video-us
Bullets of Justice,4.5,1034,"Action, Comedy, Horror, Sci-Fi",43%,57%,7 Reviews,Fewer than 50 Ratings,
The Woman Hunter,4.7,278,"Horror, Mystery",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Sodoma's Ghost,3.8,887,Horror,Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
In Ghost House Inn,5.9,745,"Comedy, Horror",40%,,Reviews,Fewer than 50 Ratings,hulu
The Ancines Woods,6.3,526,"Drama, Horror",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Washerwoman,5.2,25,Horror,,,Reviews,,amazon-prime-video-us
Someone's Knocking at the Door,4,1611,"Fantasy, Horror",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
The Incredibly Strange Creatures Who Stopped Living and Became Mixed-Up Zombies!!?,2.3,5305,Horror,Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Watch Me When I Kill,5.9,1412,"Horror, Mystery, Thriller, War",48%,,Reviews,100+ Ratings,
Resurrection Mary,4.2,354,"Drama, Horror, Romance, Thriller",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
The Resonator: Miskatonic U,4.9,451,"Fantasy, Horror, Sci-Fi",,,Reviews,,amazon-prime-video-us
Let's Be Evil,3.8,5586,"Horror, Sci-Fi, Thriller",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Transformers: Rise of the Beasts,6,104061,"Action, Adventure, Sci-Fi",91%,52%,232 Reviews,"5,000+ Verified Ratings","vudu, amazon-prime-video-us, paramount-plus-us"
Child of Glass,7.5,557,"Adventure, Drama, Family",81%,,Reviews,100+ Ratings,
Man with Two Lives,5.1,330,"Horror, Thriller",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Village of the Vampire,4.6,1174,"Horror, Mystery, Thriller",,,Reviews,,vudu
Nevrland,5.5,859,"Drama, Horror, Thriller",40%,80%,5 Reviews,Fewer than 50 Ratings,vudu
Clown Nightmare,3.5,132,Horror,,,Reviews,,
Beau Is Afraid,6.7,60771,"Comedy, Drama, Horror",71%,67%,267 Reviews,250+ Verified Ratings,"vudu, amazon-prime-video-us, paramount-plus-us"
Creature from Black Lake,5,1526,"Drama, Horror, Mystery",33%,,Reviews,"1,000+ Ratings",amazon-prime-video-us
House of Whipcord,5.8,1869,Horror,43%,,Reviews,250+ Ratings,
Portal,3.9,455,"Horror, Thriller",10%,,Reviews,50+ Ratings,
Revolt of the Zombies,3.4,1879,"Adventure, Horror",5%,0%,6 Reviews,500+ Ratings,amazon-prime-video-us
The Big Door Prize,6.4,6841,"Comedy, Drama, Mystery, Sci-Fi",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Limbo,6.1,1595,"Crime, Drama, Mystery, Thriller",72%,,Reviews,"1,000+ Ratings",
Red Canyon,3.4,831,"Action, Horror, Thriller",,,Reviews,,
